"Dmel","Species","Total","Retroelements","LINEs","SINEs","Penelope","LTR","DNA_transposons","Pao","Copia","Gypsy","SpeciesName"
1.65,"Dfal",17.53,11.24,5.14,0,0,6.09,5.91,0.02,0.43,1.9,"D.falleni"
1.87,"Dfic",25.32,22.66,5.02,0,0,17.64,2.5,0.13,0.26,3.98,"D.ficusphila"
0.59,"Dfla",21.86,10.82,5.79,0,0,5.03,10.94,0.7,0,1.84,"D.flavopinicola"
1.51,"Dfor",16.01,11.31,4.79,0,0,6.52,4.55,0,0.08,2.98,"D.formosana"
1.81,"Dful",13.03,10.32,7.25,0,0,3.07,2.41,0,0.02,0.39,"D.fulvimacula"
0.15,"Dfung",3.87,1.58,0.73,0,0,0.86,2.26,0.02,0.06,0.23,"D.fungiperda"
0.9,"Dfun",25.32,14.45,2.49,0,0,11.96,9.72,0,0,3.14,"D.funebris"
4.63,"Dfuy",37.91,30.59,6.54,0,0,24.05,7.23,0.21,0.06,11.55,"D.fuyamai"
1.18,"Dgau",17.58,8.19,4.19,0,0,3.99,8.23,0,0.05,1.04,"D.gaucha"
0.22,"Dgla",4.7,1.3,0.53,0,0,0.77,3.37,0,0.04,0.07,"D.glabriapex"
0.18,"Dgri",31.99,29.78,1.29,0,0,28.49,2.2,0,0.05,0.17,"D.grimshawi"
4.66,"Dgun",24.98,19.96,5.14,0,0,14.82,4.55,0.52,0.18,6.52,"D.gunungcola"
0.87,"Dham",13.83,7.93,1.37,0,0,6.55,5.62,0,0.09,2.14,"D.hamatofila"
0.22,"Dhaw",4.75,1.28,0.59,0,0,0.69,3.35,0,0.09,0.07,"D.hawaiiensis"
1.35,"Dhis",23.99,13.97,5.4,0,0,8.57,9.3,0.05,0.2,5.32,"D.histrio"
1.71,"Dhyd",9.93,5.34,2.47,0,0,2.87,4.13,0,0,0.86,"D.hydei"
1.22,"Dhyp",16.56,13.1,0.63,0,0,12.47,3.34,0,0.03,0.99,"D.hypocausta"
1.09,"Dimm",21.24,16.77,6.48,0,0,10.29,4.36,0.01,0.09,1.08,"D.immigrans"
0.23,"Dimp",6.79,3.54,0.89,0,0,2.64,3.16,0.11,0,0.49,"D.imparisetae"
0.29,"Dinc",7.21,3.81,1.31,0,0,2.51,3.14,0.06,0.13,0.6,"D.incognita"
0.75,"Dinf",14.49,9.27,2.31,0,0,6.96,5.2,0.1,0.03,3.33,"D.infuscata"
