D.peninsularis,D.aldrichi,17.6
D.robusta,D.peninsularis,17.6
L.clarofinis,D.subpulchrella,17.6
D.kepulauana,C.procnemis,17.6
D.siamana,D.quadrilineata,17.6
D.americana,D.lacicola,17.6
D.emarginata,D.subpulchrella,17.6
D.falleni,D.phalerata,17.6
Z.gabonicus,Z.indianus,17.6
D.innubila,D.rellima,17.6
D.subpulchrella,L.clarofinis,17.6
D.orena,S.latifasciaeformis,17.6
D.erecta,D.teissieri,17.6
D.austrosaltans,D.sturtevanti,17.6
D.lacicola,D.americana,17.6
D.bocqueti,D.orena,297
D.serrata,D.monieri,297
D.biarmipes,D.pseudoananassae,297
D.triauraria,D.serrata,297
D.mimetica,D.oshimai,297
D.repletoides,D.rufa,297
D.jambulina,D.fuyamai,297
H.duncani,S.latifasciaeformis,297
D.rufa,D.repletoides,297
D.quadrilineata,D.littoralis,297
D.orena,D.bocqueti,297
D.simulans,D.melanogaster,297
D.pseudoananassae,D.eugracilis,297
D.serrata,D.equinoxialis,412
D.simulans,D.melanogaster,412
D.sordidula,D.rellima,412
C.caudatula,D.pallidifrons,412
D.mimetica,D.subpulchrella,412
D.biarmipes,D.leonis,412
D.pallidifrons,C.caudatula,412
D.robusta,D.miranda,412
D.nasuta,D.kepulauana,412
D.virilis,H.histrioides,412
Z.kolodkinae,Z.tsacasi,412
D.formosana,D.nasuta,412
D.kanekoi,D.maculinotata,412
D.kohkoa,D.pseudoananassae,412
Z.gabonicus,Z.indianus,412
D.jambulina,D.elegans,412
D.paulistorum,D.parthenogenetica,412
D.ambigua,D.obscura,412
D.miranda,D.lowei,412
D.tristis,D.subsilvestris,412
D.parabipectinata,D.malerkotliana,412
D.repletoides,D.sordidula,412
Z.africanus,D.ercepeae,412
H.duncani,D.histrio,412
C.costata,C.fuscimana,412
D.quinaria,S.hsui,412
D.willistoni,D.tropicalis,412
D.nebulosa,D.neocordata,412
D.varians,D.tropicalis,412
D.pseudotakahashii,D.ficusphila,412
D.tripunctata,D.quinaria,412
D.cardini,D.virilis,412
D.rellima,D.sordidula,412
D.equinoxialis,D.arawakana,412
D.phalerata,S.hsui,412
D.bunnanda,D.birchii,412
Z.tuberculatus,D.ercepeae,412
D.kuntzei,D.acutilabella,412
D.ustulata,D.virilis,412
D.teissieri,D.mojavensis,412
D.athabasca,D.azteca,412
D.acutilabella,D.kuntzei,412
D.hamatofila,D.mercatorum,412
D.serrata,D.quadrilineata,accord2
D.histrio,D.kepulauana,accord2
